product_id,month,ordered_qty,ship_qty,n_lines,n_customers
103101,2019-01-01,3,3.0,1,1
103102,2017-05-01,6,6.0,1,1
103102,2017-10-01,4,4.0,1,1
103102,2018-04-01,8,8.0,2,2
103102,2018-05-01,16,16.0,4,4
103102,2019-01-01,2,2.0,1,1
103102,2019-03-01,2,2.0,1,1
103102,2019-04-01,3,3.0,1,1
103110,2017-07-01,6,6.0,1,1
103110,2017-10-01,4,4.0,1,1
103110,2018-04-01,8,8.0,2,2
103110,2018-05-01,16,16.0,4,4
103110,2019-03-01,2,2.0,1,1
103110,2019-04-01,3,3.0,1,1
103111,2017-05-01,9,9.0,1,1
103111,2017-10-01,2,2.0,1,1
103111,2018-04-01,8,8.0,2,2
103111,2018-05-01,16,16.0,4,4
103111,2019-01-01,5,5.0,2,2
103111,2019-03-01,1,1.0,1,1
103111,2019-04-01,3,3.0,1,1
103123,2017-05-01,9,9.0,1,1
103123,2017-10-01,2,2.0,1,1
103123,2018-04-01,8,8.0,2,2
103123,2018-05-01,16,16.0,4,4
103123,2019-01-01,2,2.0,1,1
103125,2017-05-01,6,4.0,1,1
103125,2017-07-01,6,6.0,1,1
103125,2017-10-01,2,2.0,1,1
103125,2018-04-01,8,8.0,2,2
103125,2018-05-01,16,16.0,4,4
103125,2019-01-01,3,3.0,1,1
103125,2019-03-01,1,1.0,1,1
103125,2019-04-01,3,3.0,1,1
103133,2017-05-01,6,6.0,1,1
103133,2017-07-01,6,6.0,2,2
103133,2017-10-01,2,2.0,1,1
103133,2018-04-01,8,8.0,2,2
103133,2018-05-01,16,16.0,4,4
103133,2019-01-01,2,2.0,1,1
103133,2019-03-01,1,1.0,1,1
103133,2019-04-01,3,3.0,1,1
103144,2017-07-01,6,6.0,1,1
103144,2018-04-01,8,8.0,2,2
103144,2018-05-01,16,16.0,4,4
103148,2017-10-01,2,2.0,1,1
103148,2018-04-01,8,8.0,2,2
103148,2018-05-01,16,16.0,4,4
103148,2019-01-01,3,3.0,1,1
103148,2019-03-01,1,1.0,1,1
103148,2019-04-01,3,3.0,1,1
103149,2017-10-01,2,2.0,1,1
103149,2018-04-01,8,8.0,2,2
103149,2018-05-01,16,16.0,4,4
103149,2019-01-01,3,3.0,1,1
103149,2019-03-01,2,2.0,1,1
103149,2019-04-01,3,3.0,1,1
103153,2019-01-01,2,2.0,1,1
103153,2019-03-01,1,1.0,1,1
103154,2017-10-01,2,2.0,1,1
103154,2018-04-01,8,8.0,2,2
103154,2018-05-01,16,16.0,4,4
103154,2019-03-01,2,2.0,1,1
103154,2019-04-01,3,3.0,1,1
103202,2019-01-01,3,3.0,1,1
103202,2019-03-01,1,1.0,1,1
103203,2017-07-01,3,3.0,1,1
103203,2017-10-01,4,4.0,1,1
103203,2019-01-01,2,2.0,1,1
103203,2019-04-01,3,3.0,1,1
103206,2017-10-01,2,2.0,1,1
103206,2019-01-01,3,3.0,1,1
103206,2019-03-01,2,2.0,1,1
103206,2019-04-01,3,3.0,1,1
103209,2017-05-01,9,9.0,2,2
103209,2017-10-01,4,4.0,1,1
103209,2019-01-01,5,5.0,2,2
103209,2019-02-01,12,12.0,1,1
103209,2019-03-01,2,2.0,1,1
103209,2019-04-01,3,3.0,1,1
103213,2019-01-01,5,5.0,2,2
103213,2019-03-01,1,1.0,1,1
103227,2019-01-01,5,5.0,2,2
103227,2019-03-01,1,1.0,1,1
103309,2017-05-01,3,3.0,1,1
103309,2017-07-01,6,6.0,1,1
103309,2017-10-01,2,2.0,1,1
103309,2018-04-01,8,8.0,2,2
103309,2018-05-01,16,16.0,4,4
103309,2019-03-01,1,1.0,1,1
103309,2019-04-01,3,3.0,1,1
103314,2018-04-01,8,8.0,2,2
